# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
20	textures\misc.png	176	224	248
30	textures\tiles.png	255	128	192
40	textures\tiles2.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemies-3.png	255	255	255
70	textures\map1-1.png	156	252	240


# id	left	top	right	bottom	texture_id
[SPRITES]
#Mario hàng 1
1	624	137	5005
1	638	137	5006
1	653	137	5006
1	668	137	5006
1	683	137	5006
1	698	137	5006
1	713	137	5006
1	728	137	5006
1	743	137	5006
1	758	137	5006
1	773	137	5006
1	788	137	5006
1	803	137	5006
1	818	137	5006
1	833	137	5006
1	848	137	5006
1	863	137	5006
1	878	137	5006
1	893	137	5006
1	908	137	5006
1	923	137	5006
1	938	137	5006
1	953	137	5006
1	968	137	5006
1	983	137	5006
1	998	137	5006
1	1013	137	5006
1	1028	137	5006
1	1043	137	5006
1	1058	137	5006
1	1073	137	5007

#Hàng gạch bự dưới 1
1	624	152	5008
1	638	152	5009
1	653	152	5009
1	668	152	5009
1	683	152	5009
1	698	152	5009
1	713	152	5009
1	728	152	5009
1	743	152	5009
1	758	152	5009
1	773	152	5009
1	788	152	5009
1	803	152	5009
1	818	152	5009
1	833	152	5009
1	848	152	5009
1	863	152	5009
1	878	152	5009
1	893	152	5009
1	908	152	5009
1	923	152	5009
1	938	152	5009
1	953	152	5009
1	968	152	5009
1	983	152	5009
1	998	152	5009
1	1013	152	5009
1	1028	152	5009
1	1043	152	5009
1	1058	152	5009
1	1073	152	5010
#Đồng tiền 
#Chéo
1	1072	54	7000
1	1105	23	7000
1	1137	-9	7000
1	1169	-41	7000
1	1201	-73	7000
#Hàng 1
1	1329	-185	7000
1	1345	-185	7000
1	1361	-185	7000
#Hàng 2
1	1473	-153	7000
1	1489	-153	7000
1	1617	-153	7000
1	1633	-153	7000
1	1649	-153	7000
1	1665	-153	7000
1	1729	-153	7000
#Hàng 3
1	1537	-137	7000
1	1553	-137	7000
1	1569	-137	7000
1	1585	-137	7000
1	1762	-137	7000
1	1841	-137	7000
#Lẻ 1
1	1809	-169	7000
#Lẻ 2
1	1697	-121	7000

#MÂY
#Mây 1 
4	328	-8	8002
4	648	8	8002
4	1176	8	8002
4	2328	24	8002

#Mây 2
4	120	8	8003

#Mây 3
4	728	40	8004
4	1656	8	8004

#Gạch bể được
1	1952	134	5001
1	1967	134	5001
1	1982	134	5001
1	1997	134	5001
1	2012	134	5001
1	2027	134	5001
1	2042	134	5001
1	2087	134	5001
1	2102	134	5001


1	1967	118	5001
1	1982	118	5001
1	1997	118	5001
1	2012	118	5001
1	2027	118	5001
1	2087	118	5001


1	1982	102	5001
1	1997	102	5001
1	2012	102	5001
1	2027	102	5001

#Mây cười dưới
1	1408	-73	8000
1	1424	-73	8000
1	1440	-73	8000
1	1456	-73	8000


1	1488	-89	8000
1	1504	-89	8000
1	1520	-89	8000
1	1536	-89	8000
1	1552	-89	8000
1	1568	-89	8000
1	1584	-89	8000
1	1600	-89	8000
1	1616	-89	8000
1	1632	-89	8000
1	1648	-89	8000
1	1664	-89	8000
1	1680	-89	8000

#Bụi cây 1
#Hàng 1
4	16	134	6003
4	32	134	6007
4	48	134	6007
4	64	134	6007
4	80	134	6006
4	96	134	6005
4	112	134	6007
4	128	134	6004

#Hàng 2
4	16	118	6003
4	32	118	6006
4	48	118	6005
4	64	118	6007
4	80	118	6004
4	96	118	6003
4	112	118	6006
4	128	118	6002

#Hàng 3
4	17	102	6001
4	32	102	6005
4	48	102	6004
4	65	102	6001
4	80	102	6002
4	96	102	6001
4	111	102	6002

#Hàng 4
4	33	86	6001
4	48	86	6002


#Bụi cây 2
#Hàng 1
4	818	121	6001
4	833	121	6007
4	849	121	6007
4	865	121	6007
4	881	121	6007
4	897	121	6007
4	913	121	6007
4	929	121	6007
4	946	121	6001
4	961	121	6005
4	977	121	6007
4	993	121	6004

#Hàng 2
4	833	105	6003
4	849	105	6006
4	865	105	6005
4	881	105	6006
4	897	105	6005
4	913	105	6007
4	929	105	6004
4	961	105	6003
4	977	105	6006
4	993	105	6002

#Hàng 3
4	834	89	6001
4	849	89	6002
4	867	89	6001
4	881	89	6005
4	897	89	6004
4	915	89	6001
4	929	89	6002
4	962	89	6001
4	977	89	6002

#Hàng 4
4	882	73	6001
4	897	73	6002

#Bụi cây 3
#Hàng 1
4	1889	134	6001
4	1904	134	6005
4	1920	134	6007
4	1936	134	6004

#Hàng 2
4	1904	118	6003
4	1920	118	6006
4	1936	118	6002

#Hàng 3
4	1905	102	6001
4	1920	102	6002

#Bụi cây 4
#Hàng 1
4	2368	134	6003
4	2384	134	6007
4	2400	134	6007
4	2416	134	6007
4	2432	134	6007
4	2448	134	6004

#Hàng 2
4	2368	118	6003
4	2384	118	6007
4	2400	118	6007
4	2416	118	6007
4	2432	118	6006
4	2448	118	6002

#Hàng 3
4	2368	102	6003
4	2384	102	6007
4	2400	102	6007
4	2416	102	6007
4	2432	102	6004


#Hàng 4

4	2369	86	6001
4	2384	86	6005
4	2400	86	6007
4	2416	86	6007
4	2432	86	6004



#Hàng 5
4	2385	70	6001
4	2400	70	6005
4	2416	70	6007
4	2432	70	6004

#Hàng 6
4	2400	54	6003
4	2416	54	6007
4	2432	54	6004

#Hàng 7
4	2400	38	6003
4	2416	38	6006
4	2432	38	6002

#Hàng 8
4	2401	22	6001
4	2416	22	6002

#Bụi cây nhỏ 
#1
4	160	134	6000
4	176	134	6000
4	192	134	6000

#2
4	672	121	6000
4	688	121	6000
4	704	121	6000
4	720	121	6000
4	736	121	6000
4	752	121	6000

#3
4	1040	121	6000
4	1056	121	6000

#4
4	1184	134	6000
4	1200	134	6000
4	1216	134	6000

#5
4	1728	134	6000
4	1744	134	6000
4	1760	134	6000

#Bóng hộp đỏ trên không

# Hộp đỏ trên không


# MARIO
0	17	115	1

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id


